tranche,financial_year,cap_pj,adder_$/gj
redirected_export_csg,2045,350.0,7.0
scarcity_backstop,2045,,18.0
existing_market,2046,90.0,0.0
diverted_lng_spot,2046,100.0,2.0
new_basin_development,2046,150.0,4.0
lng_imports,2046,360.0,6.0
redirected_export_csg,2046,350.0,7.0
scarcity_backstop,2046,,18.0
existing_market,2047,90.0,0.0
diverted_lng_spot,2047,100.0,2.0
new_basin_development,2047,150.0,4.0
lng_imports,2047,360.0,6.0
redirected_export_csg,2047,350.0,7.0
scarcity_backstop,2047,,18.0
existing_market,2048,90.0,0.0
diverted_lng_spot,2048,100.0,2.0
new_basin_development,2048,150.0,4.0
lng_imports,2048,360.0,6.0
redirected_export_csg,2048,350.0,7.0
scarcity_backstop,2048,,18.0
existing_market,2049,90.0,0.0
diverted_lng_spot,2049,100.0,2.0
new_basin_development,2049,150.0,4.0
lng_imports,2049,360.0,6.0
redirected_export_csg,2049,350.0,7.0
scarcity_backstop,2049,,18.0
existing_market,2050,90.0,0.0
diverted_lng_spot,2050,100.0,2.0
new_basin_development,2050,150.0,4.0
lng_imports,2050,360.0,6.0
redirected_export_csg,2050,350.0,7.0
scarcity_backstop,2050,,18.0
existing_market,2051,90.0,0.0
diverted_lng_spot,2051,100.0,2.0
new_basin_development,2051,150.0,4.0
lng_imports,2051,360.0,6.0
redirected_export_csg,2051,350.0,7.0
scarcity_backstop,2051,,18.0
existing_market,2052,90.0,0.0
diverted_lng_spot,2052,100.0,2.0
new_basin_development,2052,150.0,4.0
lng_imports,2052,360.0,6.0
redirected_export_csg,2052,350.0,7.0
scarcity_backstop,2052,,18.0
existing_market,2053,90.0,0.0
diverted_lng_spot,2053,100.0,2.0
new_basin_development,2053,150.0,4.0
lng_imports,2053,360.0,6.0
redirected_export_csg,2053,350.0,7.0
scarcity_backstop,2053,,18.0
existing_market,2054,90.0,0.0
diverted_lng_spot,2054,100.0,2.0
new_basin_development,2054,150.0,4.0
lng_imports,2054,360.0,6.0
redirected_export_csg,2054,350.0,7.0
scarcity_backstop,2054,,18.0
existing_market,2055,90.0,0.0
diverted_lng_spot,2055,100.0,2.0
new_basin_development,2055,150.0,4.0
lng_imports,2055,360.0,6.0
redirected_export_csg,2055,350.0,7.0
scarcity_backstop,2055,,18.0
